1;D101;1;118;0
2;D102;1;110;0
3;D103;1;101;0
4;D104;1;93;0
5;D105;1;85;0
6;D106;1;77;0
7;D107;1;68;0
8;D108;1;60;0
9;D109;1;52;0
10;D110;1;44;0
11;D111;1;36;0
12;D112;1;28;0
13;D113;1;20;0
14;D114;1;12;0
15;C101;1;235;0
16;C102;1;227;0
17;C103;1;218;0
18;C104;1;210;0
19;C105;1;202;0
20;C106;1;194;0
21;C107;1;185;0
22;C108;1;177;0
23;C109;1;169;0
24;C110;1;161;0
25;C111;1;153;0
26;C112;1;145;0
27;C113;1;137;0
28;C114;1;129;0
29;B101;1;353;0
30;B102;1;345;0
31;B103;1;336;0
32;B104;1;328;0
33;B105;1;320;0
34;B106;1;312;0
35;B107;1;303;0
36;B108;1;295;0
37;B109;1;287;0
38;B110;1;279;0
39;B111;1;271;0
40;B112;1;263;0
41;B113;1;255;0
42;B114;1;247;0
43;A101;1;476;0
44;A102;1;468;0
45;A103;1;459;0
46;A104;1;451;0
47;A105;1;443;0
48;A106;1;435;0
49;A107;1;426;0
50;A108;1;418;0
51;A109;1;410;0
52;A110;1;402;0
53;A111;1;394;0
54;A112;1;386;0
55;A113;1;378;0
56;A114;1;370;0
57;D201;2;118;0
58;D202;2;110;0
59;D203;2;101;0
60;D204;2;93;0
61;D205;2;85;0
62;D206;2;77;0
63;D207;2;68;0
64;D208;2;60;0
65;D209;2;52;0
66;D210;2;44;0
67;D211;2;36;0
68;D212;2;28;0
69;D213;2;20;0
70;D214;2;12;0
71;C201;2;235;0
72;C202;2;227;0
73;C203;2;218;0
74;C204;2;210;0
75;C205;2;202;0
76;C206;2;194;0
77;C207;2;185;0
78;C208;2;177;0
79;C209;2;169;0
80;C210;2;161;0
81;C211;2;153;0
82;C212;2;145;0
83;C213;2;137;0
84;C214;2;129;0
85;B201;2;353;0
86;B202;2;345;0
87;B203;2;336;0
88;B204;2;328;0
89;B205;2;320;0
90;B206;2;312;0
91;B207;2;303;0
92;B208;2;295;0
93;B209;2;287;0
94;B210;2;279;0
95;B211;2;271;0
96;B212;2;263;0
97;B213;2;255;0
98;B214;2;247;0
99;A201;2;471;0
100;A202;2;463;0
101;A203;2;454;0
102;A204;2;446;0
103;A205;2;438;0
104;A206;2;430;0
105;A207;2;421;0
106;A208;2;413;0
107;A209;2;405;0
108;A210;2;397;0
109;A211;2;389;0
110;A212;2;381;0
111;A213;2;373;0
112;A214;2;365;0
113;D301;3;119;0
114;D302;3;111;0
115;D303;3;102;0
116;D304;3;94;0
117;D305;3;86;0
118;D306;3;78;0
119;D307;3;69;0
120;D308;3;61;0
121;D309;3;53;0
122;D310;3;45;0
123;D311;3;37;0
124;D312;3;29;0
125;D313;3;21;0
126;D314;3;13;0
127;C301;3;236;0
128;C302;3;228;0
129;C303;3;219;0
130;C304;3;211;0
131;C305;3;203;0
132;C306;3;195;0
133;C307;3;186;0
134;C308;3;178;0
135;C309;3;170;0
136;C310;3;162;0
137;C311;3;154;0
138;C312;3;146;0
139;C313;3;138;0
140;C314;3;130;0
141;B301;3;354;0
142;B302;3;346;0
143;B303;3;337;0
144;B304;3;329;0
145;B305;3;321;0
146;B306;3;313;0
147;B307;3;304;0
148;B308;3;296;0
149;B309;3;288;0
150;B310;3;280;0
151;B311;3;272;0
152;B312;3;264;0
153;B313;3;256;0
154;B314;3;248;0
155;A301;3;472;0
156;A302;3;464;0
157;A303;3;455;0
158;A304;3;447;0
159;A305;3;439;0
160;A306;3;431;0
161;A307;3;422;0
162;A308;3;414;0
163;A309;3;406;0
164;A310;3;398;0
165;A311;3;390;0
166;A312;3;382;0
167;A313;3;374;0
168;A314;3;366;0
169;D401;4;118;0
170;D402;4;110;0
171;D403;4;101;0
172;D404;4;93;0
173;D405;4;85;0
174;D406;4;77;0
175;D407;4;68;0
176;D408;4;60;0
177;D409;4;52;0
178;D410;4;44;0
179;D411;4;36;0
180;D412;4;28;0
181;D413;4;20;0
182;D414;4;12;0
183;C401;4;235;0
184;C402;4;227;0
185;C403;4;218;0
186;C404;4;210;0
187;C405;4;202;0
188;C406;4;194;0
189;C407;4;185;0
190;C408;4;177;0
191;C409;4;169;0
192;C410;4;161;0
193;C411;4;153;0
194;C412;4;145;0
195;C413;4;137;0
196;C414;4;129;0
197;B401;4;353;0
198;B402;4;345;0
199;B403;4;336;0
200;B404;4;328;0
201;B405;4;320;0
202;B406;4;312;0
203;B407;4;303;0
204;B408;4;295;0
205;B409;4;287;0
206;B410;4;279;0
207;B411;4;271;0
208;B412;4;263;0
209;B413;4;255;0
210;B414;4;247;0
211;A401;4;471;0
212;A402;4;463;0
213;A403;4;454;0
214;A404;4;446;0
215;A405;4;438;0
216;A406;4;430;0
217;A407;4;421;0
218;A408;4;413;0
219;A409;4;405;0
220;A410;4;397;0
221;A411;4;389;0
222;A412;4;381;0
223;A413;4;373;0
224;A414;4;365;0
